date,ticker,price,volume
3/25/2025,APLA,223.75,34493.578
3/26/2025,APLA,221.53,34532.66
3/27/2025,APLA,223.85,37094.77
3/28/2025,APLA,217.9,39818.621
3/31/2025,APLA,222.13,65299.32
4/1/2025,APLA,223.19,36412.738
4/2/2025,APLA,223.89,35905.898
4/3/2025,APLA,203.19,103419
4/4/2025,APLA,188.38,125910.898
4/7/2025,APLA,181.46,160466.297
4/8/2025,APLA,172.42,120859.508
4/9/2025,APLA,198.85,184395.906
4/10/2025,APLA,190.42,121880
4/11/2025,APLA,198.15,87435.922
4/14/2025,APLA,202.52,101352.898
4/15/2025,APLA,202.14,51343.871
4/16/2025,APLA,194.27,59732.422
4/17/2025,APLA,196.98,52164.68
4/18/2025,APLA,196.98,0
4/21/2025,APLA,193.16,46742.539
4/22/2025,APLA,199.74,52976.367
4/23/2025,APLA,204.6,52929.168
4/24/2025,APLA,208.37,47310.992
4/25/2025,APLA,209.28,38222.262
4/28/2025,APLA,210.14,38743.07
4/29/2025,APLA,211.21,36827.633
4/30/2025,APLA,212.5,52286.449
5/1/2025,APLA,213.32,57365.68
5/2/2025,APLA,205.35,101010.602
5/5/2025,APLA,198.89,69018.445
5/6/2025,APLA,198.51,51216.48
5/7/2025,APLA,196.25,68616.945
5/8/2025,APLA,197.49,50478.871
5/9/2025,APLA,198.53,36453.922
5/12/2025,APLA,210.79,63775.809
5/13/2025,APLA,212.93,51909.328
5/14/2025,APLA,212.33,49325.832
5/15/2025,APLA,211.45,45029.473
5/16/2025,APLA,211.26,54737.848
5/19/2025,APLA,208.78,46140.527
5/20/2025,APLA,206.86,42496.641
5/21/2025,APLA,202.09,59211.77
5/22/2025,APLA,201.36,46742.406
5/23/2025,APLA,195.27,78432.922
5/26/2025,APLA,195.27,0
5/27/2025,APLA,200.21,56288.48
5/28/2025,APLA,200.42,45339.68
5/29/2025,APLA,199.95,51477.941
5/30/2025,APLA,200.85,70819.938
6/2/2025,APLA,201.7,35423.289
6/3/2025,APLA,203.27,46381.566
6/4/2025,APLA,202.82,43603.992
6/5/2025,APLA,200.63,55221.238
6/6/2025,APLA,203.92,46607.688
6/9/2025,APLA,201.45,72862.562
6/10/2025,APLA,202.67,54672.609
6/11/2025,APLA,198.78,60989.859
6/12/2025,APLA,199.2,43904.641
6/13/2025,APLA,196.45,51447.352
6/16/2025,APLA,198.42,43020.688
6/17/2025,APLA,195.64,38856.152
6/18/2025,APLA,196.58,45394.688
6/19/2025,APLA,196.58,0
6/20/2025,APLA,201,96813.539
6/23/2025,APLA,201.5,55814.273
6/24/2025,APLA,200.3,54064.031
6/25/2025,APLA,201.56,39525.727
6/26/2025,APLA,201,50799.121
6/27/2025,APLA,201.08,73188.57
6/30/2025,APLA,205.17,91912.812
7/1/2025,APLA,207.82,78788.875
7/2/2025,APLA,212.44,67941.805
7/3/2025,APLA,213.55,34955.84
7/4/2025,APLA,213.55,0
7/7/2025,APLA,209.95,50228.98
7/8/2025,APLA,210.01,42848.93
7/9/2025,APLA,211.14,48749.367
7/10/2025,APLA,212.41,44443.641
7/11/2025,APLA,211.16,39765.809
7/14/2025,APLA,208.62,38840.113
7/15/2025,APLA,209.11,42296.34
7/16/2025,APLA,210.16,47490.527
7/17/2025,APLA,210.02,48068.141
7/18/2025,APLA,211.18,48974.594
7/21/2025,APLA,212.48,51377.434
7/22/2025,APLA,214.4,46404.07
7/23/2025,APLA,214.15,46989.301
7/24/2025,APLA,213.76,46022.621
7/25/2025,APLA,213.88,40268.781
7/28/2025,APLA,214.05,37858.02
7/29/2025,APLA,211.27,51411.719
7/30/2025,APLA,209.05,45512.512
7/31/2025,APLA,207.57,80698.43
11/1/2024,MTFS,410.37,24230.439
11/4/2024,MTFS,408.46,19672.289
11/5/2024,MTFS,411.46,17626.01
11/6/2024,MTFS,420.18,26681.84
11/7/2024,MTFS,425.43,19901.779
11/8/2024,MTFS,422.54,16891.41
11/11/2024,MTFS,418.01,24503.32
11/12/2024,MTFS,423.03,19401.199
11/13/2024,MTFS,425.2,21502.189
11/14/2024,MTFS,426.89,30246.881
11/15/2024,MTFS,415,28247.641
11/18/2024,MTFS,415.76,24742.01
11/19/2024,MTFS,417.79,18133.529
11/20/2024,MTFS,415.49,19191.66
11/21/2024,MTFS,412.87,20780.16
11/22/2024,MTFS,417,24814.631
11/25/2024,MTFS,418.79,27691.09
11/26/2024,MTFS,427.99,23458.891
11/27/2024,MTFS,422.99,18332.439
11/28/2024,MTFS,422.99,0
